Unnamed: 0,Year,Race Name,Driver ID,Constructor Name,Grid Position,Final Position,Fastest Lap Time,Points,Status,Number of Laps,Lap,Duration,Weather,Temperature (°C),Humidity (%),Wind Speed (m/s),Rain (mm),Pit Stops
9644,2019,Au,ku,Wi,20.0,17.0,89.28399999999999,0.0,DNF,55.0,44.0,21.889,No rain,17.76,67,0.89,0.0,3
2149,2021,Tu,ra,,,,,,DNF,,37.0,23.164,No rain,5.73,65,4.63,0.0,1
8511,2022,Az,ga,Al,6.0,5.0,108.519,10.0,Finished,51.0,9.0,22.698,Rain,4.97,75,12.35,0.0,1
10599,2023,Br,sa,Wi,14.0,11.0,91.699,0.0,Finished,52.0,29.0,28.847,No rain,4.18,97,2.28,0.0,1
9485,2021,Ab,ri,Mc,10.0,12.0,88.723,0.0,+1 Lap,57.0,18.0,21.449,No rain,21.1,68,2.06,0.0,2
74,2020,It,ha,Me,1.0,7.0,82.746,7.0,Finished,53.0,20.0,24.671,Rain,5.0,87,0.45,1.0,2
18097,2021,Sa,le,Fe,4.0,7.0,91.601,6.0,Finished,50.0,13.0,16:39.485,No rain,26.03,53,2.06,0.0,2
7339,2021,Ab,bo,Me,6.0,6.0,86.862,8.0,Finished,58.0,30.0,21.669,No rain,21.1,68,2.06,0.0,1
13759,2019,Si,gr,Ha,17.0,11.0,106.274,0.0,Finished,61.0,35.0,43.576,No rain,26.92,87,1.03,0.0,2
11793,2019,Si,hu,,,,,,DNF,,1.0,29.563,No rain,26.92,87,1.03,0.0,2
12599,2021,Du,bo,Me,3.0,3.0,72.549,15.0,Finished,72.0,67.0,21.730,No rain,1.59,88,3.6,0.0,2
11685,2021,Qa,ma,,,,,,DNF,,41.0,25.175,No rain,20.97,72,3.43,0.0,3
16927,2023,It,al,As,10.0,9.0,86.105,2.0,Finished,51.0,21.0,24.798,Rain,5.0,87,0.45,1.0,1
13797,2019,Ca,no,Mc,8.0,20.0,78.023,0.0,DNF,8.0,,,No rain,-4.97,57,6.69,0.0,0
16986,2023,Au,pe,,,,,,DNF,,8.0,15:37.512,No rain,17.76,67,0.89,0.0,3
2509,2021,Ba,pe,,,,,,DNF,,19.0,24.105,No rain,21.05,72,5.45,0.0,2
7281,2023,Au,zh,Al,17.0,12.0,69.786,0.0,+1 Lap,70.0,8.0,24.374,No rain,-2.06,86,1.54,0.0,2
9244,2022,Sa,no,Mc,11.0,7.0,92.753,6.0,Finished,50.0,16.0,20.383,No rain,26.03,53,2.06,0.0,1
11584,2021,Sa,al,Al,13.0,13.0,91.633,0.0,+1 Lap,49.0,13.0,16:59.850,No rain,26.03,53,2.06,0.0,2
13868,2024,Mi,ru,Me,7.0,8.0,91.921,4.0,Finished,57.0,24.0,22.800,No rain,22.99,64,8.23,0.0,1
4067,2019,Sp,gi,Al,18.0,16.0,81.833,0.0,Finished,66.0,41.0,23.507,No rain,9.61,85,3.09,0.0,2
9648,2024,Me,ru,Me,5.0,5.0,80.731,10.0,Finished,71.0,31.0,22.462,No rain,23.88,23,4.12,0.0,1
11095,2024,Au,no,Mc,3.0,3.0,79.91499999999999,15.0,Finished,58.0,14.0,17.776,No rain,17.76,67,0.89,0.0,1
16037,2022,Ba,ga,Al,10.0,20.0,97.324,0.0,DNF,44.0,14.0,24.575,No rain,21.05,72,5.45,0.0,2
3145,2022,Ba,ts,Al,16.0,8.0,97.104,4.0,Finished,57.0,29.0,24.350,No rain,21.05,72,5.45,0.0,2
11535,2021,Sp,le,Fe,4.0,4.0,80.459,12.0,Finished,66.0,28.0,21.613,No rain,9.61,85,3.09,0.0,1
12008,2021,Qa,bo,Me,6.0,20.0,87.246,0.0,DNF,48.0,33.0,36.341,No rain,20.97,72,3.43,0.0,1
13973,2021,Sa,oc,Al,9.0,4.0,91.797,12.0,Finished,50.0,15.0,18:08.290,No rain,26.03,53,2.06,0.0,2
7926,2019,Ba,ku,Wi,20.0,16.0,97.903,0.0,+2 Laps,55.0,11.0,24.667,No rain,21.05,72,5.45,0.0,2
15813,2023,Az,ma,,,,,,DNF,,10.0,20.707,Rain,4.97,75,12.35,0.0,1
16193,2022,Du,ve,As,19.0,14.0,74.862,0.0,Finished,72.0,9.0,22.391,No rain,1.59,88,3.6,0.0,2
540,2019,Au,no,Mc,5.0,6.0,68.699,8.0,+1 Lap,70.0,25.0,21.547,No rain,-2.06,86,1.54,0.0,1
4235,2024,Br,pe,,,,,,DNF,,28.0,32.313,No rain,4.18,97,2.28,0.0,2
5507,2024,Sp,ma,,,,,,DNF,,17.0,21.544,No rain,9.61,85,3.09,0.0,1
14764,2021,Sa,st,As,18.0,11.0,92.804,0.0,Finished,50.0,9.0,27.165,No rain,26.03,53,2.06,0.0,2
17054,2020,Sp,ga,Al,10.0,9.0,82.543,2.0,+1 Lap,65.0,42.0,22.394,No rain,9.61,85,3.09,0.0,2
754,2023,Br,bo,Al,20.0,12.0,91.852,0.0,Finished,52.0,32.0,29.662,No rain,4.18,97,2.28,0.0,1
17660,2022,Ja,zh,Al,14.0,16.0,104.411,0.0,Finished,28.0,2.0,6:50.005,No rain,7.84,72,6.85,0.0,1
2542,2022,Sp,ru,Me,4.0,3.0,84.636,15.0,Finished,66.0,13.0,22.154,No rain,9.61,85,3.09,0.0,1
6073,2024,Em,ma,,,,,,DNF,,24.0,30.416,Rain,4.34,96,2.91,1.33,1
13674,2023,It,zh,Al,16.0,14.0,85.983,0.0,Finished,51.0,11.0,24.396,Rain,5.0,87,0.45,1.0,2
5218,2023,Mo,ma,,,,,,DNF,,55.0,24.798,No rain,11.92,73,3.6,0.0,1
10538,2020,Ru,ru,Wi,13.0,18.0,97.352,0.0,+1 Lap,52.0,50.0,29.675,No rain,-0.89,51,7.0,0.0,3
13211,2024,Qa,bo,Sa,13.0,11.0,85.533,0.0,Finished,57.0,,,No rain,20.97,72,3.43,0.0,0
237,2023,Du,pi,Mc,8.0,9.0,74.299,2.0,Finished,72.0,,,No rain,1.59,88,3.6,0.0,0
4271,2021,Ab,oc,Al,9.0,9.0,88.249,2.0,Finished,58.0,15.0,21.677,No rain,21.1,68,2.06,0.0,1
5875,2020,Em,kv,Al,8.0,4.0,77.666,12.0,Finished,63.0,14.0,30.277,Rain,4.34,96,2.91,1.33,2
6657,2019,Br,ke,,,,,,DNF,,1.0,32.767,No rain,4.18,97,2.28,0.0,1
100,2022,Ja,bo,Al,12.0,15.0,107.82,0.0,Finished,28.0,2.0,6:47.553,No rain,7.84,72,6.85,0.0,2
11027,2019,Ja,bo,Me,3.0,1.0,91.862,25.0,Finished,52.0,36.0,23.157,No rain,7.84,72,6.85,0.0,2
14611,2019,Ch,sa,Mc,14.0,14.0,97.502,0.0,+1 Lap,55.0,1.0,45.878,No rain,2.99,75,4.0,0.0,1
17887,2020,Ba,kv,Al,10.0,11.0,94.141,0.0,+1 Lap,56.0,17.0,37.317,No rain,21.05,72,5.45,0.0,2
10140,2019,Br,kv,To,17.0,9.0,89.91,2.0,Finished,52.0,12.0,29.377,No rain,4.18,97,2.28,0.0,2
5362,2021,Ru,no,Mc,1.0,7.0,97.423,7.0,Finished,53.0,28.0,29.824,No rain,-0.89,51,7.0,0.0,1
4766,2022,Mo,ve,As,9.0,10.0,77.55799999999999,1.0,Finished,64.0,6.0,24.965,No rain,11.92,73,3.6,0.0,1
7503,2024,Sã,le,Fe,6.0,5.0,81.631,10.0,Finished,69.0,32.0,23:40.260,No rain,21.25,86,4.63,0.0,2
12461,2023,Ba,pe,,,,,,DNF,,17.0,24.264,No rain,21.05,72,5.45,0.0,1
8793,2023,Mi,al,As,2.0,3.0,90.519,15.0,Finished,57.0,24.0,22.631,No rain,22.99,64,8.23,0.0,1
15860,2024,Sã,ru,Me,2.0,4.0,81.645,12.0,Finished,69.0,32.0,23:35.838,No rain,21.25,86,4.63,0.0,2
1308,2020,Em,le,Fe,7.0,5.0,78.173,10.0,Finished,63.0,13.0,30.243,Rain,4.34,96,2.91,1.33,1
1582,2019,Un,bo,Me,1.0,1.0,96.957,25.0,Finished,56.0,35.0,23.819,Rain,17.84,85,3.09,0.0,2
16475,2023,Me,ri,Al,4.0,7.0,82.679,6.0,Finished,71.0,34.0,20:17.136,No rain,23.88,23,4.12,0.0,2
2431,2022,Un,mi,,,,,,DNF,,33.0,24.651,Rain,17.84,85,3.09,0.0,2
1044,2020,Tu,bo,Me,2.0,2.0,79.432,18.0,Finished,59.0,8.0,23:56.402,No rain,5.13,81,2.59,0.0,2
15665,2020,Tu,bo,Me,2.0,2.0,79.432,18.0,Finished,59.0,8.0,23:56.402,No rain,5.13,81,2.59,0.0,2
9749,2020,Tu,ra,,,,,,DNF,,30.0,31.356,No rain,5.73,65,4.63,0.0,2
5009,2021,Sã,pe,,,,,,DNF,,8.0,18.136,No rain,21.25,86,4.63,0.0,2
16626,2023,Sp,hu,,,,,,DNF,,26.0,23.257,No rain,9.61,85,3.09,0.0,2
1487,2022,Mo,oc,Al,10.0,12.0,77.571,0.0,Finished,64.0,21.0,24.875,No rain,11.92,73,3.6,0.0,1
7633,2022,Sã,ts,Al,0.0,17.0,75.508,0.0,+1 Lap,70.0,40.0,23.645,No rain,21.25,86,4.63,0.0,2
